"GEOID","NHPD Property ID","PropertyStatus","Property Name","Property Address","City","State","Zip","Active Subsidies","TargetTenantType","Occupancy Rate","0-1 BedroomUnits","TwoBedroomUnits","ThreePlusBedroomUnits","Percent of ELI Households","HUD Property ID","FairMarketRent_2BR","Owner Type","EarliestStartDate","Total Units","Section 8 Housing Units","Supportive Housing Elderly","FHA Loan Units","FHA Loan Sub_Program Units","Low Income Housing Tax Credit","Low Income Housing Tax Credit sub-program","HOME Grants","Rural Rental Housing"
13067031205,1038955,Active,IVYWOOD PARK APARTMENTS,"4475 Beech Haven Trl SE",Atlanta,GA,"30339-1300",2,,,0,34,72,,800237699,1210,,"1/1/1993",106,,,106,,106,,,
13067031206,1037830,Active,SMYRNA TOWERS                                     ,"4000 S Cobb Dr SE",Smyrna,GA,"30080-6325",1,Elderly,99,149,1,,59,800004970,1130,Multiple,"12/11/1980",150,150,,,,,,,
13067031306,1018512,Active,THE ARC LIGHTHOUSE                                ,"1337 Palmer Pl SW",Mableton,GA,"30126-3019",1,Wholly physically disabled,,4,0,0,,800222532,1070,Non-Profit,"5/30/2019",4,4,,,,,,,
13067031306,1018463,Active,THE PASCHAL HOUSE,"1836 Sylvia St",Austell,GA,"30106-3608",1,Wholly physically disabled,,4,0,0,,800222524,1070,Non-Profit,"6/25/2019",4,4,,,,,,,
13067031306,1018511,Active,THE MICHAEL S HUFF HOUSE,"1175 Center St SW",Mableton,GA,"30126-2103",1,Wholly physically disabled,,4,0,0,,800223850,1070,Non-Profit,"1/31/2019",4,4,,,,,,,
13067031309,1018466,Active,THE GORDON HOUSE                                  ,"5884 S Gordon Rd",Austell,GA,"30168-4376",1,Wholly physically disabled,,4,0,0,,800215187,950,Non-Profit,"1/30/2019",5,4,,,,,,,
13067031309,1018469,Active,THE HOUSE ON GREENBROOK CIRCLE                    ,"6171 Greenbrook Cir",Austell,GA,"30168-5146",2,Disabled,,4,0,0,,800212836,950,Non-Profit,"1/23/2019",4,4,,,,,,,
13067031309,1018467,Active,THE SARA FERA HOUSE INC,"5951 S Gordon Rd",Austell,GA,"30168-4930",1,Wholly physically disabled,,4,0,0,,800224976,950,Non-Profit,"12/1/2018",4,4,,,,,,,
13067031309,1127394,Active,,"1490 Ashlyn Ct",Austell,GA,"30168-5700",1,,,,,,,,950,,"9/19/2016",1,,,,,,,1,
13067031309,1127400,Active,,"6559 Brandemere Way",Austell,GA,"30168-5340",1,,,,,,,,950,,"5/24/2016",1,,,,,,,1,
13067031310,1106831,Active,WALTON RESERVE APARTMENTS,"7075 Walton Reserve Ln",Austell,GA,"30168-2504",1,,,32,160,58,,,950,,"1/1/2003",249,,,,,249,,,
13067031310,1038634,Active,THE HERITAGE AT WALTON RESERVE,"1675 Walton Reserve Blvd",Austell,GA,"30168-2537",1,,,,,,,,950,For Profit,"1/1/2004",105,,,,,105,,,
13067031311,1039129,Active,THE KENNY COX HOME                                ,"760 Knox Springs Rd",Austell,GA,"30168-6314",1,Wholly physically disabled,,4,,,,800235724,950,Non-Profit,"12/1/2018",5,4,,,,,,,
13067031311,1038312,Active,HUNTERS GROVE,"575 Six Flags Dr",Austell,GA,"30168-7236",1,,,,,,,,950,,"1/1/1995",200,,,,,200,,,
13067031311,1038475,Active,ORCHARD LANE APARTMENTS,"6862 Mableton Pkwy SE",Mableton,GA,"30126-6400",1,,,,,,,,950,For Profit,"1/1/2000",135,,,,,135,,,
13067031311,1038566,Active,KINGSLEY VILLAGE,"595 Six Flags Dr",Austell,GA,"30168-7225",1,Family,,16,118,12,,,950,For Profit,"1/1/2003",146,,,,,146,,,
13067031311,1127399,Active,,"486 Wingsfield Ct",Austell,GA,"30168-6359",1,,,,,,,,950,,"5/18/2016",1,,,,,,,1,
13067031311,1127402,Active,,"7458 Silver Arrow Trl",Austell,GA,"30168-2401",1,,,,,,,,950,,"5/18/2016",1,,,,,,,1,
13067031312,1018513,Active,THE EIGHTEENTH HOUSE                              ,"469 Lane Dr SW",Mableton,GA,"30126-3474",1,Wholly physically disabled,,4,0,0,,800223851,1070,Non-Profit,"1/31/2019",4,4,,,,,,,
13067031404,1018465,Active,THE KEPHART HOUSE,"4732 Bennett St",Austell,GA,"30106-2209",1,Wholly physically disabled,,4,0,0,,800224967,1020,Non-Profit,"1/26/2019",5,4,,,,,,,
13067031405,1018518,Active,"BUTTERFIELD HOUSE, INC                            ","1379 Pair Rd SW",Marietta,GA,"30008-5703",1,Disabled,,4,0,0,,800064856,1020,Non-Profit,"6/26/2019",5,4,,,,,,,
13067031405,1018522,Active,THE COBB ARC HOUSE                                ,"3358 Old Tennessee Rd SW",Marietta,GA,"30008-5980",1,Wholly physically disabled,,4,0,0,,800218012,1020,Non-Profit,"4/22/2019",4,4,,,,,,,
13067031406,1038359,Active,ROSEWOOD PARK APARTMENT,"2199 MESA VALLEY WAY",AUSTELL,GA,"30106-8135",1,,,,68,82,,,1020,Multiple,"1/1/1995",150,,,,,150,,,
13067031406,1105345,Active,FOREST GLEN APARTMENTS,"4236 Austell Rd",Austell,GA,"30106-8239",1,Family,,,,,,,1020,,"1/1/1996",36,,,,,,,,
13067031406,1038140,Active,LEGACY AT WALTON CROSSING FKA ORCHARD MILL,"1800 Mulkey Rd",Austell,GA,"30106-1119",2,,,100,83,49,,,1020,Multiple,"1/1/1990",238,,,,,0,232,,
13067031406,1038642,Active,PARKLAND MANOR APARTMENTS,"3755 Medical Park Dr",Austell,GA,"30106-6826",1,,,,,,,,1020,For Profit,"1/1/2007",150,,,,,150,,,
13067031406,1038641,Active,HIGHLAND RIDGE,"1899 Mulkey Rd",Austell,GA,"30106-1120",1,,,,,,,,1020,For Profit,"1/1/2008",108,,,,,108,,,
13067031406,1127426,Active,,"3760 Cherokee Trails Dr SW",Marietta,GA,"30008-8402",1,,,,,,,,1020,,"7/10/2017",1,,,,,,,1,
13067031408,1018468,Active,LOUISE PLACE,"6090 Hiram Lithia Springs Rd SW",Austell,GA,"30106-3000",1,Wholly developmentally disabled,,4,0,0,,800221208,1300,Non-Profit,"1/17/2019",4,4,,,,,,,
13067031408,1018464,Active,THE MULBERRY HOUSE,"2690 Carol Way",Austell,GA,"30168-4112",1,Wholly physically disabled,,4,0,0,,800225986,1300,Non-Profit,"8/1/2018",5,4,,,,,,,
13067031409,1038643,Active,"THE SWEETWATER HOUSE, INC                        ","5120 North Ave",Austell,GA,"30106-2600",1,Wholly physically disabled,,4,,,,800235749,1020,Non-Profit,"11/30/2018",4,4,,,,,,,
13067031409,1127396,Active,,"2992 Dalton Ln",Austell,GA,"30106-1055",1,,,,,,,,1020,,"9/19/2016",1,,,,,,,1,
13067031409,1127397,Active,,"3023 Brass Dr",Austell,GA,"30106-1043",1,,,,,,,,1020,,"5/18/2016",1,,,,,,,1,
13067031409,1127395,Active,,"2943 Heather Lake Dr",Austell,GA,"30106-1081",1,,,,,,,,1020,,"5/18/2016",1,,,,,,,1,
13067031409,1127398,Active,,"3161 Mosley Chase Dr",Austell,GA,"30106-2642",1,,,,,,,,1020,,"5/24/2016",1,,,,,,,1,
13067031503,1018520,Active,THE TWELFTH HOUSE INC,"2728 Old Horseshoe Bend Rd SW",Marietta,GA,"30064-4918",1,Wholly physically disabled,,4,0,0,,800221211,1220,Non-Profit,"5/15/2019",4,4,,,,,,,
13067031503,1038919,Active,ASHTON ARBORS APARTMENTS,"2780 Bankstone Dr SW",Marietta,GA,"30064-4368",1,,,,,,,,1220,For Profit,"1/1/2005",150,,,,,150,,,
13067031503,1127431,Active,,"2540 Country Lake Cir",Powder Springs,GA,"30127-1578",1,,,,,,,,1220,,"5/18/2016",1,,,,,,,1,
13067031503,1127432,Active,,"3090 Westview Dr",Powder Springs,GA,"30127-4610",1,,,,,,,,1220,,"9/9/2016",1,,,,,,,1,
13067031503,1127434,Active,,"3205 Valley View St",Powder Springs,GA,"30127-1856",1,,,,,,,,1220,,"5/18/2016",1,,,,,,,1,
13067031503,1127425,Active,,"2711 Bankstone Dr SW",Marietta,GA,"30064-4311",1,,,,,,,,1220,,"5/24/2016",1,,,,,,,1,
13067031503,1127433,Active,,"3181 Valley View St",Powder Springs,GA,"30127-1854",1,,,,,,,,1220,,"9/16/2016",1,,,,,,,1,
13067031505,1127437,Active,CLAIR PLACE,"5164 Saint Claire Pl",Powder Springs,GA,"30127-5394",1,,,,,,,,1300,,"5/18/2016",1,,,,,,,1,
13067031505,1127436,Active,,"4216 Morning Dew Dr",Powder Springs,GA,"30127-2597",1,,,,,,,,1300,,"5/18/2016",1,,,,,,,1,
13067031506,1127430,Active,,"2302 Estapa Dr",Powder Springs,GA,"30127-8639",1,,,,,,,,1300,,"11/5/2018",1,,,,,,,1,
13067031508,1104138,Active,ABBINGTON TRAIL,"3470 Florence Rd",Powder Springs,GA,"30127-6026",2,,,0,0,0,,,1300,,"1/1/2015",60,,,,,,0,,
13067031508,1127438,Active,,"5233 Glendora Ct",Powder Springs,GA,"30127-5346",1,,,,,,,,1300,,"12/14/2015",1,,,,,,,1,
13067031508,1127435,Active,,"3314 Mooring Dr",Powder Springs,GA,"30127-1673",1,,,,,,,,1300,,"5/18/2016",1,,,,,,,1,
13067031509,1018233,Active,THE LEWIS ROAD HOUSE,"4715 Lewis Rd",Powder Springs,GA,"30127-3130",1,Disabled,,4,0,0,,800112329,1300,Non-Profit,"3/16/2019",4,4,,,,,,,
13077170200,1038934,Active,FOXWORTH FOREST,"17 Foster Dr",Newnan,GA,"30263-4712",1,,,,,,,,1010,For Profit,"1/1/1993",72,,,,,72,,,
13077170200,1039450,Active,FOREST AT YORK,Calumet Pkwy,Newnan,GA,"30263",2,,,,,,,,1010,,"1/1/2013",72,,,,,72,,72,
13077170200,1130700,Active,MISSING,"40 Trotter Ct",Newnan,GA,"30263-1687",1,,,,,,,,1010,Public Entity,,5,,,,,,,,
13077170304,1117617,Active,ROLLING HILLS APARTMENTS,"104 Rolling Hills Dr",Newnan,GA,"30263-1167",1,Family,,16,34,0,,,1010,Limited Profit,"10/1/1985",50,,,,,,,,0
13077170305,1038933,Active,COLUMBIA WOODS TOWNHOUSES,"166 Greison Trl",Newnan,GA,"30263-1682",1,,,,,,,,1010,For Profit,"1/1/2001",117,,,,,117,,,
13077170305,1038932,Active,NEWNAN CROSSING APARTMENTS,"151 Parkway N",Newnan,GA,"30265-1543",1,,,,,,,,1010,For Profit,"1/1/2004",192,,,,,192,,,
13077170305,1120517,Active,CHESTNUT LANE APARTMENTS,"82 Berry Ave Apt A",Newnan,GA,"30263-1490",1,Family,,18,32,,,,1010,Limited Profit,"4/28/1989",50,,,,,,,,
13077170305,1118564,Active,PINEWOOD VILLAS OF NEWNAN,"500 Greison Trl",Newnan,GA,"30263-1871",1,Family,,12,38,,,,1010,Limited Profit,"7/6/1984",50,,,,,,,,
13077170305,1121284,Active,SOUTHERN VILLAS OF NEWNAN,"561 Greison Trl",Newnan,GA,"30263-1841",1,Family,,12,30,8,,,1010,Limited Profit,"4/1/1983",50,,,,,,,,
13077170305,1117246,Active,TRANQUIL VILLAS OF NEWNAN,"807 Tranquil Ln",Newnan,GA,"30263-5842",1,Family,,12,38,,,,1010,Limited Profit,"6/10/1986",50,,,,,,,,
13077170306,1002412,Active,SHENANDOAH FOREST APARTMENTS,"8 Forest Cir",Newnan,GA,"30265-1135",1,Family,93,0,70,30,78,800004965,1220,Profit Motivated,"6/1/1980",100,100,,100,,,,,
13077170306,1018237,Active,SHENANDOAH VILLAS,"100 Villa Dr",Newnan,GA,"30265-1130",1,Family,99,60,0,0,75,800037154,1220,Limited Dividend,"11/1/1999",60,60,,,,,,,
13077170306,1129993,Inconclusive,WISTERIA PLACE PHASE I,"100 Wisteria Gardens Cir",Newnan,GA,"30265-2336",0,,,80,40,0,,,1220,,,112,,,,,,,,
13077170306,1039205,Active,MILO HUNTER HOMES,"3 Boulder Bnd",Newnan,GA,"30265-6088",1,Eldery or Disabled,100,,,,83,,1220,Public Entity,"12/31/1966",138,,,,,,,,
13077170503,1039352,Active,PROJECT UNNAMED,"320 Seavy St",Senoia,GA,"30276",1,,100,,,,67,,1150,Public Entity,"2/28/1961",30,,,,,,,,
13077170601,1038000,Active,EASTGATE APARTMENTS,"11 Dowdell St",Newnan,GA,"30263-2300",4,Family,96,12,36,48,93,800224453,1010,Multiple,"1/1/2005",98,96,,98,,0,96,,
13077170601,1037894,Active,THE HIGHLANDS,"2 Ball St",Newnan,GA,"30263-2343",2,Family,99,6,18,75,85,800005009,1010,Multiple,"4/1/1972",100,99,,,,100,,,
13077170601,1039207,Active,SALLIE JONES MORDICUE HOMES,"2 Cliff Cir",Newnan,GA,"30263",1,,97,,,,80,,1010,Public Entity,"11/30/1958",135,,,,,,,,
13077170601,1039211,Active,SUMMIT POINT APARTMENTS,"257 E Broad St",Newnan,GA,"30263",1,,100,,,,63,,1010,Public Entity,"12/15/2010",38,,,,,,,,
13077170700,1038935,Active,PINES BY THE CREEK,"60 Heery Rd",Newnan,GA,"30263-1320",1,,,,,,,,1010,For Profit,"1/1/2007",96,,,,,76,,,
13077170700,1039209,Active,JOHN JORDAN HOMES,"128 W Washington St",Newnan,GA,"30263",1,,97,,,,76,,1010,Public Entity,"12/31/1952",121,,,,,,,,
13077170801,1038672,Active,GRANTVILLE HA,"100 Glanton St",Grantville,GA,"30220",1,,80,,,,75,,1080,Public Entity,"12/31/1962",20,,,,,,,,
13089020500,1038250,Active,OAKLAND COURT APARTMENTS,"97 Sanderson St NE",Atlanta,GA,"30307",1,,,,,,,,1090,Non-Profit,"1/1/1994",100,,,,,100,,,
13089020500,1103712,Active,Columnia Citihomes,"165 Marion Pl NE",Atlanta,GA,"30307-2747",3,,,0,114,38,,,1090,,"1/1/2002",154,,,,,82,0,,
13089020500,1038032,Active,COLUMBIA SENIOR RESIDENCES AT EDGEWOOD,"1281 Caroline St NE",Atlanta,GA,"30307-2787",2,,,70,66,,,800227103,1090,Multiple,"1/1/2006",135,,,,,135,,135,
13089020600,1037901,Active,EDGEWOOD COURT APARTMENTS,"1572 Hardee St NE",Atlanta,GA,"30307-2871",1,Family,90,24,64,116,90,800004738,1310,Profit Motivated,"3/1/1982",204,204,,,,,,,
13089020600,1130506,Active,COLUMBIA TOWNHOMES AT EDGEWOOD,"150 Hutchinson St NE",Atlanta,GA,"30307",1,,,0,0,0,,,1310,,"1/1/2011",100,,,,,100,,,
13089020600,1039554,Active,COLUMBIA TOWNHOMES AT EDGEWOOD II,"37 Hutchinson St NE",Atlanta,GA,"30307",1,,,30,,10,,,1310,,"1/1/2012",40,,,,,40,,,
13089020700,1037815,Active,PRESLEY WOODS APARTMENTS (AKA KIRKWOOD),"265 Kirkwood Rd NE",Atlanta,GA,"30317-1117",3,Family,94,20,0,0,95,800079042,1090,Multiple,"1/1/1996",40,20,,,,40,40,,
13089020700,1038640,Active,KIRKWOOD GARDENS,"1929 Hosea L Williams Dr SE",Atlanta,GA,"30317-2264",2,,,16,27,,,,1090,For Profit,"1/1/2005",43,,,,,34,,34,
13089020802,1038592,Active,VILLAGES OF EASTLAKE II,"460 E Lake Blvd SE",Atlanta,GA,"30317-3151",3,,,46,178,136,,,1090,For Profit,"1/1/1998",360,,,,,0,0,,
13089020802,1038274,Active,VILLAGES OF EASTLAKE II,"110 Greenhaven Dr SE",Atlanta,GA,"30317-3200",1,,93,,,,58,,1090,Public Entity,"2/28/2001",180,,,,,,,,
13089020802,1038260,Active,EAST LAKE HIGHRISE,"380 E Lake Blvd SE",Atlanta,GA,"30317-3154",1,,99,,0,0,88,,1090,Public Entity,"9/30/1971",149,,,,,,,,
13089020900,1037802,Active,BRANAN TOWERS,"1200 Glenwood Ave SE",Atlanta,GA,"30316-1949",2,Elderly,95,176,0,0,84,800004634,1120,Non-Profit,"8/1/1974",176,176,,176,,,,,
13089020900,1039206,Active,THE SAFETY NET,"2045 Graham Cir SE",Atlanta,GA,"30316",2,,,,,,,,1120,,"6/2/2010",46,,,,,,,40,
13089021102,1037861,Active,LENOX SUMMIT,"2449 E Club Dr NE",Brookhaven,GA,"30319-3389",1,Elderly,98,209,3,0,89,800004714,1580,Profit Motivated,"8/1/1979",212,212,,,,,,,
13089021208,1038057,Active,CHAMBLEE SENIOR RESIDENCES,"3381 Malone Dr",Chamblee,GA,"30341-2771",2,,,32,33,,,,1230,For Profit,"1/1/2007",65,,,,,65,,3,
13089021208,1127404,Active,SENIOR RESIDENCES AT MERCY PARK,"5124 Peachtree Rd",Chamblee,GA,"30341-3015",2,,,,,,,,1230,,"10/17/2017",79,,,,,,,79,
13089021209,1038834,Active,PITTSBURGH,"3509 Blair Cir NE",Brookhaven,GA,"30319",1,,,,,,,,1580,,"1/1/1995",7,,,,,,,,
13089021209,1038050,Active,ASHFORD PARKSIDE SENIOR RESIDENCES,"3522 Blair Cir NE",Brookhaven,GA,"30319-7700",1,,,37,112,,,,1580,For Profit,"1/1/2007",151,,,,,132,,,
13089021209,1039005,Active,ASHFORD LANDING SENIOR RESIDENCES,"3511 Donaldson Dr NE",Brookhaven,GA,"30319",2,,,0,0,0,,,1580,For Profit,"1/1/2009",117,,,,,0,117,,
13089021209,1038571,Active,MARKETSIDE AT BROOKLEIGH,"2282 Johnson Ferry Rd NE",Brookhaven,GA,"30319-2297",2,Family,,,,,,800234021,1580,,"1/1/2012",121,,,121,,121,,,
13089021216,1106385,Active,SHANNON LAKE,"1 Ravinia Dr",Atlanta,GA,"30346",1,,,,,,,,1470,,"1/1/1996",152,,,,,287,,,
13089021307,1038762,Active,CHESTNUT CREEK APARTMENTS,"3374 Aztec Rd",Doraville,GA,"30340-3277",1,,,,,,,,1140,,"1/1/1998",128,,,,,,,,
13089021308,1038155,Active,SUPPORTIVE HOUSE INC/DRESDEN ROSALYNN,"2198 Dresden Dr",Atlanta,GA,"30341-5058",1,,,,,,,,1230,,"2/6/2003",56,,,,,,,56,
13089021412,1106837,Active,BRYTON HILL APARTMENTS,"2527 Skyland Dr NE",Brookhaven,GA,"30319",1,,,,,,,,1580,,"1/1/1996",204,,,,,,,,
13089021502,1018451,Active,GEORGIA HOUSING AND FINANCE AGENCY,"60 Executive Park South NE",Atlanta,GA,"30329-2296",1,,,16,0,0,,800241506,1540,,"10/30/2014",16,16,,,,,,,
13089021504,1015060,Active,CLAIRMONT OAKS,"1800 Clairmont Lk",Decatur,GA,"30033-4039",1,Elderly,,127,0,0,,800004690,1300,Non-Profit,"10/1/1975",298,127,,,,,,,
13089021603,1037788,Active,BRIARCLIFF OAKS APARTMENTS,"2982 Briarcliff Rd NE",Atlanta,GA,"30329-2585",2,Elderly,98,125,0,0,78,800004638,1300,Non-Profit,"5/1/2010",125,125,,125,,,,,
13089021703,1037895,Active,AHEPA ONE APARTMENTS                              ,"2025 Ludovie Ln",Decatur,GA,"30033-1024",1,Elderly,97,68,0,0,100,800064645,1330,Non-Profit,"6/1/2019",68,68,,,,,,,
13089021809,1038304,Active,GWINNETT STATION,"6169 S Norcross Tucker Rd",Tucker,GA,"30084",1,,,,,,,,1110,For Profit,"1/1/1995",180,,,,,200,,,
13089021809,1104986,Active,HEARTHSIDE TUCKER,"5181 Lavista Rd",Tucker,GA,"30084-3602",2,,,0,0,0,,,1110,,"1/1/2015",112,,,,,,0,,
13089021812,1037992,Active,LONGWOOD VISTA APARTMENTS,"2300 Global Forum Blvd",Doraville,GA,"30340-4400",1,,,68,112,100,,,1140,Multiple,"1/1/2005",276,,,,,249,,,
13089021814,1002279,Active,PLEASANTDALE CROSSING,"1000 Pleasantdale Xing",Doraville,GA,"30340-4217",3,Family,98,10,32,0,69,800004913,1140,Profit Motivated,"4/1/1998",210,42,,210,210,,,,
13089021814,1038764,Active,MORNINGSIDE APARTMENTS,"3469 Morningside Village Ln",Doraville,GA,"30340-5505",1,,,,,,,,1140,,"1/1/1998",306,,,,,,,,
13089021907,1103547,Active,THE VIEW AKA MOUNTAINVIEW SENIOR,"901 Fourth St",Stone Mountain,GA,"30083-3043",3,,,0,0,0,,,1390,,"1/1/2015",80,,,,,75,0,25,
13089021908,1038070,Active,HAIRSTON LAKE APARTMENTS,"1023 N Hairston Rd",Stone Mountain,GA,"30083-2722",1,Partially elderly handicapped,96,170,0,0,80,800004879,1010,Profit Motivated,"6/1/2014",170,170,,,,,,,
13089021908,1038960,Active,MOUNTAIN CREST,"1075 N Hairston Rd",Stone Mountain,GA,"30083-5921",1,,,48,146,86,,,1010,For Profit,"1/1/2004",280,,,,,280,,,
13089022005,1037980,Active,WOODSIDE VILLAGE APARTMENTS,"3954 Memorial College Ave",Clarkston,GA,"30021-2406",2,,,126,162,72,,,1010,Multiple,"1/1/2003",360,,,,,0,342,,
13089022005,1038683,Active,LAKES AT INDIAN CREEK,"751 N Indian Creek Dr",Clarkston,GA,"30021-2357",1,,,,,,,,1010,For Profit,"1/1/2004",603,,,,,603,,,
13089022009,1038679,Active,CLARKSTON STATION (WYNCREST APTS),"3629 Montreal Creek Cir",Clarkston,GA,"30021-1407",2,,,0,0,0,,,1020,For Profit,"1/1/2004",356,,,,,0,356,,
13089022100,1038049,Active,OAK FOREST APARTMENTS,"338 Hatton Dr",Scottdale,GA,"30079-1820",3,Family,94,0,110,40,84,800004885,860,Profit Motivated,"1/1/2014",150,150,,150,,0,,,
13089022100,1038681,Active,TUSCANY VILLAGE,"600 Northern Ave",Clarkston,GA,"30021-1909",2,,,,,,,,860,For Profit,"4/1/1988",144,,,144,,144,,,
13089022100,1104093,Active,TOBIE GRANT SENIOR,"3218 Tobie Cir",Scottdale,GA,"30079",3,,,0,0,0,,,860,,"1/1/2015",159,,,,,,0,159,
13089022100,1103343,Active,MILLS CREEK CROSSING,"3175 Mills Creek Cir",Scottdale,GA,"30079-4523",1,,,0,0,0,,,860,,"1/1/2016",200,,,,,0,,,
13089022100,1129996,Active,RETREAT AT MILLS CREEK,"3220 Mills Creek Cir",Scottdale,GA,"30079-4509",1,,,0,0,0,,,860,,"1/1/2017",80,,,,,0,,,
13089022204,1038748,Active,CEDAR CREEK APARTMENTS,"3073 Cedar Creek Pkwy",Decatur,GA,"30033-4460",1,,,2,22,10,,,1250,,"1/1/2003",168,,,,,,,,
13089022204,1038752,Active,CEDAR CREEK WEST APARTMENTS,"3117 Cedar Brook Dr",Decatur,GA,"30033-6032",1,,,12,100,52,,,1250,,"1/1/2003",164,,,,,,,,
13089022301,1037871,Active,DECATUR CHRISTIAN TOWERS,"1438 Church St",Decatur,GA,"30030-1582",2,Elderly,100,43,,,58,800004712,1250,Profit Motivated,"6/1/1973",216,43,,216,,,,,
13089022500,1037993,Active,TRINITY WALK II,"421 W Trinity Pl",Decatur,GA,"30030-3022",4,Elderly,94,25,30,15,85,800004769,1260,Profit Motivated,"6/1/2015",69,69,,,,0,0,,
13089022500,1038085,Active,PARK TRACE APARTMENTS,"700 Atlanta Ave",Decatur,GA,"30030-3047",1,Elderly,98,169,0,0,87,800004899,1260,Profit Motivated,"3/1/1985",170,169,,,,,,,
13089022500,1039118,Active,ALLEN WILSON TERRACE PHASE I,"1480 Commerce Dr",Decatur,GA,"30030",2,,98,8,16,16,62,,1260,Multiple,"1/1/2011",40,,,,,80,,,
13089022500,1039120,Active,ALLEN WILSON - PHASE III,"1450 Commerce Dr",Decatur,GA,"30030",3,Eldery or Disabled,100,6,49,16,83,,1260,Multiple,"1/1/2012",80,,,,,0,71,,
13089022500,1038303,Active,ALLEN WILSON TERRACE,"463 Electric Ave",Decatur,GA,"30030-3033",1,,100,,,,69,,1260,Public Entity,"2/28/1970",98,,,,,,,,
13089022500,1039571,Active,ALLEN WILSON PHASE III,"263 Robin St",Decatur,GA,"30030",1,,99,,,,61,,1260,Public Entity,"12/31/2013",71,,,,,,,,
13089022600,1129987,Inconclusive,DECATUR EAST,"590 E Freeman St",Decatur,GA,"30030-4064",0,,,74,18,0,,,1260,,,92,,,,,,,,
13089022700,1018487,Active,SHEPHERD CENTER,"321 W Hill St",Decatur,GA,"30030-4362",1,,99,9,5,0,93,800112328,1260,Non-Profit,"6/1/2019",14,14,,,,,,,
13089022800,1038337,Active,COLUMNS AT EAST HILL,"135 E Hill St",Decatur,GA,"30030-4354",1,,,,,,,,1260,,"1/1/1996",28,,,,,28,,,
13089022900,1037944,Inconclusive,COMMUNITY HOUSING INC,"1179 Russell Dr",Decatur,GA,"30030-4746",0,Disabled,,4,,,,800004682,1260,Profit Motivated,"3/9/1995",4,4,,,,,,,
13089023000,1038333,Active,FORREST HEIGHTS APARTMENTS NSP3,"1048 Columbia Dr",Decatur,GA,"30030-4725",1,,,70,10,,,,810,For Profit,"1/1/1996",80,,,,,80,,,
13089023101,1038237,Active,DELANO PLACE,"1575 Line St",Decatur,GA,"30032",1,,,,,,,,970,For Profit,"1/1/1993",58,,,,,58,,,
13089023102,1038754,Active,BRITTANY APARTMENTS,"3308 Covington Dr",Decatur,GA,"30032-2236",1,,,,,,,,970,For Profit,"1/1/2002",177,,,,,177,,,
13089023108,1038760,Active,RETREAT AT MADISON PLACE,"3907 Redwing Cir",Decatur,GA,"30035-1388",1,,,,,,,,970,For Profit,"1/1/2006",160,,,,,160,,,
13089023114,1023846,Active,MANOR AT INDIAN CREEK,"3904 Durham Park Rd",Stone Mountain,GA,"30083-4681",1,,,6,3,,,800247171,1010,Limited Dividend,"3/1/2018",94,9,,,,,,,
13089023206,1018486,Active,TRAVIS HOUSE                                      ,"1407 S Hairston Rd",Stone Mountain,GA,"30088-4620",1,Disabled,,6,0,0,,800005017,1010,Non-Profit,"4/1/2019",7,6,,,,,,,
13089023206,1038987,Active,LANE MANOR                                        ,"4695 Redan Rd",Stone Mountain,GA,"30083-5136",1,Elderly,98,53,0,0,67,800225974,1010,Non-Profit,"3/1/2019",54,53,,,,,,,
13089023206,1037978,Active,ANTIOCH MANOR ESTATES I,"4711 Bishop Ming Blvd",Stone Mountain,GA,"30088-5701",1,,,,,,,,1010,For Profit,"1/1/2005",120,,,,,96,,,
13089023206,1039097,Active,ANTIOCH VILLAS AND GARDENS PH III,"4735 Bishop Ming Blvd",Stone Mountain,GA,"30088",2,,,68,38,0,,,1010,,"1/1/2011",106,,,,,,106,,
13089023206,1038961,Active,ANTIOCH MANOR ESTATES-ELDERLY PROJECT,"1823 S HAIRSTON RD",STONE MOUNTAIN,GA,"30088",1,,,,,,,,1010,,"12/23/2005",120,,,,,,,10,
13089023206,1039527,Active,SHEPPARD MANOR (LANE MANOR) SENIOR HOUSING,"4683 Redan Rd",Stone Mountain,GA,"30083",1,,,,,,,,1010,,"3/21/2014",4,,,,,,,4,
13089023208,1038067,Active,THE PARK AT HAIRSTON FKA LAKE POINT,"1038 S Hairston Rd",Stone Mountain,GA,"30088-2310",2,,,117,174,62,,,1100,Multiple,"1/1/2005",354,,,,,0,353,,
13089023213,1038539,Active,VILLAS OF FRIENDLY HEIGHTS,"4581 Snapfinger Woods Dr",Decatur,GA,"30035",1,,,30,78,24,,,1060,For Profit,"1/1/2002",132,,,,,124,,,
13089023213,1038550,Active,CHAPEL RUN APARTMENTS,"4522 Snapfinger Woods Dr",Decatur,GA,"30035-4178",1,,,36,88,48,,,1060,For Profit,"1/1/2003",172,,,,,170,,,
13089023303,1039330,Active,PROJECT UNNAMED,"6813 Parkway Dr",Lithonia,GA,"30058-4533",1,,99,,,,61,,1180,Public Entity,"2/28/1961",75,,,,,,,,
13089023303,1039406,Active,THE TERRACES AT PARKVIEW,"2526 Park Dr",Lithonia,GA,"30058",1,,,,,,,,1180,,"6/8/2011",90,,,,,,,36,
13089023310,1018509,Active,ALICE WILLIAMS TOWERS (SALEM BAPTIST CHURCH)      ,"5480 Hillandale Dr",Lithonia,GA,"30058-1861",1,Elderly,100,44,0,0,81,800064667,1180,Non-Profit,"11/1/2018",45,44,,,,,,,
